config_id,optimizer,learning_rate,dropout,hidden_sizes,total_params,epoch,train_loss,validation_accuracy,elapsed_sec
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,1,0.6859714708256635,91.41,3.0737902079999913
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,2,0.33049894282051884,93.28999999999999,6.062347415994736
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,3,0.26044912102863005,94.28999999999999,9.139133707998553
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,4,0.2218951950509815,94.85,12.409309832990402
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,5,0.19493175048731692,95.24000000000001,16.127675832991372
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,6,0.1763226173215676,95.5,19.602948582993122
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,7,0.16067175351606952,95.89,23.090506874999846
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,8,0.1476639994970807,96.22,26.26243412499025
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,9,0.13680275909379835,96.33,29.485666791995754
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,10,0.12738613084088254,96.39,32.621621416998096
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,11,0.11912059085877605,96.58,35.797298457997385
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,12,0.11165745275404819,96.64,39.17618929198943
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,13,0.10408132223892341,96.72,42.426132416992914
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,14,0.0990037407682981,96.83,45.57624525099527
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,15,0.09356976443206258,96.99,48.932847750984365
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,16,0.08817443082935277,97.03,52.271509125988814
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,17,0.08421730647513706,97.04,56.004366583991214
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,18,0.07904658939342687,97.06,59.6358272509824
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,19,0.07493718549023365,97.13000000000001,62.912672375983675
SGD_lr0.01_do0.0_h512-256,SGD,0.01,0.0,512-256,537354,20,0.07156600351748636,97.16,66.00070254298043
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,1,0.714696300942929,91.23,2.4763534579979023
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,2,0.33900227738453015,93.23,4.940256582995062
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,3,0.26719293387871185,94.33,7.42642295800033
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,4,0.22617398338185316,94.93,9.883011249999981
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,5,0.19792842774958858,95.25,12.387003708005068
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,6,0.1783065043564892,95.59,14.918865916013601
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,7,0.16202811632014336,95.78999999999999,17.390655124007026
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,8,0.15046096211354107,95.98,19.8610467910039
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,9,0.13822176513974316,96.21,22.363342374010244
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,10,0.12871999661144726,96.39,24.861417624008027
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,11,0.12091122265492217,96.52,27.34769549900375
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,12,0.11427852286469456,96.56,29.856928499008063
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,13,0.10772444016259357,96.63000000000001,32.360912333009765
SGD_lr0.01_do0.0_h384-192,SGD,0.01,0.0,384-192,378442,14,0.1013278740327506,96.61999999999999,34.937160291010514
