config_id,optimizer,learning_rate,epochs,dropout,hidden_sizes,total_params,final_train_loss,final_validation_accuracy,best_validation_accuracy,best_epoch,first_epoch_98,time_to_98_sec,final_elapsed_sec,test_accuracy
Adam_lr0.001_do0.2_h256-128,Adam,0.001,20,0.2,256-128,235914,0.0211570714924343,98.41,98.41,20,6,11.802473791976809,40.02454670997395,98.27
Adam_lr0.0005_do0.2_h256-128,Adam,0.0005,20,0.2,256-128,235914,0.024445116328000994,98.4,98.4,20,9,20.03885983399232,43.63952737399086,
Adam_lr0.0005_do0.2_h512-256,Adam,0.0005,20,0.2,512-256,537354,0.013881214584637282,98.36,98.37,16,7,24.795364163990598,71.34676670598856,
Adam_lr0.001_do0.2_h512-256,Adam,0.001,20,0.2,512-256,537354,0.013358797775079942,98.34,98.45,17,5,19.340489626018098,77.26225070901273,
Adam_lr0.001_do0.2_h384-192,Adam,0.001,20,0.2,384-192,378442,0.016840229204191523,98.33,98.36,16,6,17.13781179000216,56.54256291502679,98.09
Adam_lr0.0005_do0.2_h384-192,Adam,0.0005,20,0.2,384-192,378442,0.016737051358449627,98.33,98.33,20,8,21.71447137600626,95.4112204570265,
SGD_lr0.1_do0.2_h512-256,SGD,0.1,20,0.2,512-256,537354,0.029666459176971346,98.28,98.33,19,8,24.47984937399451,57.89086779099307,
Adam_lr0.0005_do0.1_h256-128,Adam,0.0005,20,0.1,256-128,235914,0.012593770851434103,98.24000000000001,98.28,17,9,17.972041833025287,39.80137137402198,98.03
SGD_lr0.1_do0.2_h384-192,SGD,0.1,20,0.2,384-192,378442,0.035795232737868915,98.22999999999999,98.3,17,11,26.97054129197204,48.72354100002849,
Adam_lr0.0005_do0.1_h512-256,Adam,0.0005,20,0.1,512-256,537354,0.008465466275832266,98.22,98.28,14,5,18.491807208993123,74.84903620599653,
Adam_lr0.001_do0.1_h256-128,Adam,0.001,20,0.1,256-128,235914,0.012309196882768665,98.21,98.22,11,6,12.071695792023093,40.639337791042635,
SGD_lr0.1_do0.1_h384-192,SGD,0.1,20,0.1,384-192,378442,0.01713264443912547,98.18,98.21,16,10,23.764518250973197,50.84943904400279,
SGD_lr0.1_do0.1_h512-256,SGD,0.1,20,0.1,512-256,537354,0.014060800605775924,98.18,98.32,19,10,32.18423875197186,62.36739308695542,
SGD_lr0.1_do0.2_h256-128,SGD,0.1,20,0.2,256-128,235914,0.04733893977054105,98.11999999999999,98.15,18,16,26.2074649999995,32.548332333011786,
Adam_lr0.0005_do0.1_h384-192,Adam,0.0005,20,0.1,384-192,378442,0.011098295005824054,98.11,98.31,19,7,20.61733925099543,57.82547125100973,
Adam_lr0.001_do0.1_h384-192,Adam,0.001,20,0.1,384-192,378442,0.011089350578633785,98.11,98.27,16,7,20.690640415996313,59.043832123003085,
SGD_lr0.05_do0.1_h512-256,SGD,0.05,20,0.1,512-256,537354,0.028348161704995375,98.09,98.09,19,14,39.11781674998929,55.06878045898338,
Adam_lr0.001_do0.1_h512-256,Adam,0.001,20,0.1,512-256,537354,0.00871921218838261,98.08,98.35000000000001,15,7,25.27584766698419,74.58067570796993,
Adam_lr0.001_do0.0_h512-256,Adam,0.001,20,0.0,512-256,537354,0.004297325998573708,98.08,98.4,19,5,21.310536124015925,80.71180591499433,
SGD_lr0.05_do0.1_h256-128,SGD,0.05,20,0.1,256-128,235914,0.0413293999617584,98.05,98.05,20,20,27.42787403902912,27.42787403902912,
Adam_lr0.001_do0.0_h384-192,Adam,0.001,20,0.0,384-192,378442,0.006192233254695237,98.03,98.14,10,4,11.785145417001331,61.17015987398918,
SGD_lr0.05_do0.1_h384-192,SGD,0.05,20,0.1,384-192,378442,0.03287706706014475,98.02,98.06,19,19,40.15810670799692,42.052168542009895,
Adam_lr0.0005_do0.0_h256-128,Adam,0.0005,20,0.0,256-128,235914,0.002167900432676262,98.02,98.16,19,18,38.56652600398229,42.868234711975674,
Adam_lr0.0005_do0.0_h384-192,Adam,0.0005,20,0.0,384-192,378442,0.005238362547383853,98.00999999999999,98.03,17,17,51.154378874998656,60.65192216700234,
SGD_lr0.05_do0.2_h384-192,SGD,0.05,20,0.2,384-192,378442,0.059896033712129745,98.0,98.0,20,20,42.612847293014056,42.612847293014056,
SGD_lr0.05_do0.2_h512-256,SGD,0.05,20,0.2,512-256,537354,0.05230219854991327,97.98,98.05,19,17,47.83089933602605,56.0051927940367,
SGD_lr0.1_do0.0_h256-128,SGD,0.1,20,0.0,256-128,235914,0.003868441713600883,97.97,97.97,20,,,91.05586470598064,
SGD_lr0.1_do0.1_h256-128,SGD,0.1,20,0.1,256-128,235914,0.023277084565941665,97.96000000000001,98.06,19,14,34.16906829002255,45.51076570802252,
Adam_lr0.001_do0.0_h256-128,Adam,0.001,20,0.0,256-128,235914,0.007050060863217023,97.94,98.11999999999999,17,13,27.806515500036767,42.482111833043746,
Adam_lr0.0005_do0.0_h512-256,Adam,0.0005,20,0.0,512-256,537354,0.0052742899952279544,97.92,98.38,16,12,46.42745587602258,77.92663858502056,
SGD_lr0.05_do0.2_h256-128,SGD,0.05,20,0.2,256-128,235914,0.07421778142116194,97.89,97.92,18,,,33.01365624800383,
